t	S	I	R
751.00	0.5166	0.0218	0.4615
752.00	0.5168	0.0218	0.4614
753.00	0.5170	0.0218	0.4613
754.00	0.5171	0.0217	0.4611
755.00	0.5173	0.0217	0.4610
756.00	0.5175	0.0217	0.4609
757.00	0.5176	0.0216	0.4607
758.00	0.5178	0.0216	0.4606
759.00	0.5180	0.0216	0.4604
760.00	0.5182	0.0215	0.4603
761.00	0.5183	0.0215	0.4601
762.00	0.5185	0.0215	0.4600
763.00	0.5187	0.0214	0.4598
764.00	0.5189	0.0214	0.4597
765.00	0.5191	0.0214	0.4595
766.00	0.5193	0.0214	0.4594
767.00	0.5194	0.0213	0.4592
768.00	0.5196	0.0213	0.4591
769.00	0.5198	0.0213	0.4589
770.00	0.5200	0.0213	0.4587
771.00	0.5202	0.0213	0.4586
772.00	0.5204	0.0212	0.4584
773.00	0.5206	0.0212	0.4582
774.00	0.5207	0.0212	0.4581
775.00	0.5209	0.0212	0.4579
776.00	0.5211	0.0212	0.4577
777.00	0.5213	0.0212	0.4575
778.00	0.5215	0.0211	0.4574
779.00	0.5217	0.0211	0.4572
780.00	0.5219	0.0211	0.4570
781.00	0.5221	0.0211	0.4568
782.00	0.5222	0.0211	0.4567
783.00	0.5224	0.0211	0.4565
784.00	0.5226	0.0211	0.4563
785.00	0.5228	0.0211	0.4561
786.00	0.5230	0.0210	0.4560
787.00	0.5232	0.0210	0.4558
788.00	0.5234	0.0210	0.4556
789.00	0.5235	0.0210	0.4554
790.00	0.5237	0.0210	0.4553
791.00	0.5239	0.0210	0.4551
792.00	0.5241	0.0210	0.4549
793.00	0.5243	0.0210	0.4547
794.00	0.5244	0.0210	0.4546
795.00	0.5246	0.0210	0.4544
796.00	0.5248	0.0210	0.4542
797.00	0.5250	0.0210	0.4541
798.00	0.5251	0.0210	0.4539
799.00	0.5253	0.0210	0.4537
800.00	0.5255	0.0210	0.4535
801.00	0.5256	0.0210	0.4534
802.00	0.5258	0.0210	0.4532
803.00	0.5259	0.0210	0.4530
804.00	0.5261	0.0210	0.4529
805.00	0.5263	0.0210	0.4527
806.00	0.5264	0.0210	0.4526
807.00	0.5266	0.0210	0.4524
808.00	0.5267	0.0210	0.4522
809.00	0.5269	0.0210	0.4521
810.00	0.5270	0.0211	0.4519
811.00	0.5272	0.0211	0.4518
812.00	0.5273	0.0211	0.4516
813.00	0.5275	0.0211	0.4515
814.00	0.5276	0.0211	0.4513
815.00	0.5277	0.0211	0.4512
816.00	0.5279	0.0211	0.4510
817.00	0.5280	0.0211	0.4509
818.00	0.5281	0.0211	0.4507
819.00	0.5282	0.0212	0.4506
820.00	0.5284	0.0212	0.4505
821.00	0.5285	0.0212	0.4503
822.00	0.5286	0.0212	0.4502
823.00	0.5287	0.0212	0.4501
824.00	0.5288	0.0212	0.4499
825.00	0.5289	0.0212	0.4498
826.00	0.5290	0.0213	0.4497
827.00	0.5292	0.0213	0.4496
828.00	0.5293	0.0213	0.4495
829.00	0.5294	0.0213	0.4493
830.00	0.5294	0.0213	0.4492
831.00	0.5295	0.0214	0.4491
832.00	0.5296	0.0214	0.4490
833.00	0.5297	0.0214	0.4489
834.00	0.5298	0.0214	0.4488
835.00	0.5299	0.0214	0.4487
836.00	0.5300	0.0215	0.4486
837.00	0.5300	0.0215	0.4485
838.00	0.5301	0.0215	0.4484
839.00	0.5302	0.0215	0.4483
840.00	0.5302	0.0215	0.4482
841.00	0.5303	0.0216	0.4481
842.00	0.5304	0.0216	0.4480
843.00	0.5304	0.0216	0.4480
844.00	0.5305	0.0216	0.4479
845.00	0.5305	0.0217	0.4478
846.00	0.5306	0.0217	0.4477
847.00	0.5306	0.0217	0.4477
848.00	0.5307	0.0217	0.4476
849.00	0.5307	0.0218	0.4475
850.00	0.5307	0.0218	0.4475
851.00	0.5308	0.0218	0.4474
852.00	0.5308	0.0218	0.4474
853.00	0.5308	0.0219	0.4473
854.00	0.5309	0.0219	0.4473
855.00	0.5309	0.0219	0.4472
856.00	0.5309	0.0219	0.4472
857.00	0.5309	0.0220	0.4471
858.00	0.5309	0.0220	0.4471
859.00	0.5309	0.0220	0.4471
860.00	0.5309	0.0220	0.4470
861.00	0.5309	0.0221	0.4470
862.00	0.5309	0.0221	0.4470
863.00	0.5309	0.0221	0.4469
864.00	0.5309	0.0221	0.4469
865.00	0.5309	0.0222	0.4469
866.00	0.5309	0.0222	0.4469
867.00	0.5309	0.0222	0.4469
868.00	0.5309	0.0222	0.4469
869.00	0.5309	0.0223	0.4469
870.00	0.5309	0.0223	0.4468
871.00	0.5308	0.0223	0.4468
872.00	0.5308	0.0224	0.4468
873.00	0.5308	0.0224	0.4468
874.00	0.5308	0.0224	0.4468
875.00	0.5307	0.0224	0.4469
876.00	0.5307	0.0225	0.4469
877.00	0.5306	0.0225	0.4469
878.00	0.5306	0.0225	0.4469
879.00	0.5306	0.0225	0.4469
880.00	0.5305	0.0226	0.4469
881.00	0.5305	0.0226	0.4469
882.00	0.5304	0.0226	0.4470
883.00	0.5304	0.0226	0.4470
884.00	0.5303	0.0227	0.4470
885.00	0.5303	0.0227	0.4471
886.00	0.5302	0.0227	0.4471
887.00	0.5301	0.0227	0.4471
888.00	0.5301	0.0227	0.4472
889.00	0.5300	0.0228	0.4472
890.00	0.5300	0.0228	0.4472
891.00	0.5299	0.0228	0.4473
892.00	0.5298	0.0228	0.4473
893.00	0.5298	0.0229	0.4474
894.00	0.5297	0.0229	0.4474
895.00	0.5296	0.0229	0.4475
896.00	0.5295	0.0229	0.4475
897.00	0.5295	0.0229	0.4476
898.00	0.5294	0.0230	0.4477
899.00	0.5293	0.0230	0.4477
900.00	0.5292	0.0230	0.4478
901.00	0.5291	0.0230	0.4478
902.00	0.5291	0.0230	0.4479
903.00	0.5290	0.0231	0.4480
904.00	0.5289	0.0231	0.4480
905.00	0.5288	0.0231	0.4481
906.00	0.5287	0.0231	0.4482
907.00	0.5286	0.0231	0.4482
908.00	0.5285	0.0231	0.4483
909.00	0.5284	0.0232	0.4484
910.00	0.5284	0.0232	0.4485
911.00	0.5283	0.0232	0.4485
912.00	0.5282	0.0232	0.4486
913.00	0.5281	0.0232	0.4487
914.00	0.5280	0.0232	0.4488
915.00	0.5279	0.0233	0.4489
916.00	0.5278	0.0233	0.4489
917.00	0.5277	0.0233	0.4490
918.00	0.5276	0.0233	0.4491
919.00	0.5275	0.0233	0.4492
920.00	0.5274	0.0233	0.4493
921.00	0.5273	0.0233	0.4494
922.00	0.5272	0.0233	0.4494
923.00	0.5271	0.0233	0.4495
924.00	0.5270	0.0234	0.4496
925.00	0.5269	0.0234	0.4497
926.00	0.5268	0.0234	0.4498
927.00	0.5267	0.0234	0.4499
928.00	0.5266	0.0234	0.4500
929.00	0.5265	0.0234	0.4501
930.00	0.5264	0.0234	0.4501
931.00	0.5264	0.0234	0.4502
932.00	0.5263	0.0234	0.4503
933.00	0.5262	0.0234	0.4504
934.00	0.5261	0.0234	0.4505
935.00	0.5260	0.0234	0.4506
936.00	0.5259	0.0234	0.4507
937.00	0.5258	0.0234	0.4508
938.00	0.5257	0.0234	0.4509
939.00	0.5256	0.0234	0.4510
940.00	0.5255	0.0235	0.4510
941.00	0.5254	0.0235	0.4511
942.00	0.5253	0.0235	0.4512
943.00	0.5252	0.0235	0.4513
944.00	0.5251	0.0235	0.4514
945.00	0.5250	0.0235	0.4515
946.00	0.5250	0.0235	0.4516
947.00	0.5249	0.0235	0.4517
948.00	0.5248	0.0235	0.4518
949.00	0.5247	0.0235	0.4518
950.00	0.5246	0.0235	0.4519
951.00	0.5245	0.0235	0.4520
952.00	0.5245	0.0234	0.4521
953.00	0.5244	0.0234	0.4522
954.00	0.5243	0.0234	0.4523
955.00	0.5242	0.0234	0.4523
956.00	0.5241	0.0234	0.4524
957.00	0.5241	0.0234	0.4525
958.00	0.5240	0.0234	0.4526
959.00	0.5239	0.0234	0.4527
960.00	0.5238	0.0234	0.4527
961.00	0.5238	0.0234	0.4528
962.00	0.5237	0.0234	0.4529
963.00	0.5236	0.0234	0.4530
964.00	0.5236	0.0234	0.4531
965.00	0.5235	0.0234	0.4531
966.00	0.5234	0.0234	0.4532
967.00	0.5234	0.0234	0.4533
968.00	0.5233	0.0234	0.4533
969.00	0.5232	0.0234	0.4534
970.00	0.5232	0.0233	0.4535
971.00	0.5231	0.0233	0.4535
972.00	0.5231	0.0233	0.4536
973.00	0.5230	0.0233	0.4537
974.00	0.5230	0.0233	0.4537
975.00	0.5229	0.0233	0.4538
976.00	0.5228	0.0233	0.4539
977.00	0.5228	0.0233	0.4539
978.00	0.5228	0.0233	0.4540
979.00	0.5227	0.0233	0.4540
980.00	0.5227	0.0232	0.4541
981.00	0.5226	0.0232	0.4541
982.00	0.5226	0.0232	0.4542
983.00	0.5225	0.0232	0.4542
984.00	0.5225	0.0232	0.4543
985.00	0.5225	0.0232	0.4543
986.00	0.5224	0.0232	0.4544
987.00	0.5224	0.0232	0.4544
988.00	0.5224	0.0232	0.4545
989.00	0.5223	0.0231	0.4545
990.00	0.5223	0.0231	0.4546
991.00	0.5223	0.0231	0.4546
992.00	0.5223	0.0231	0.4546
993.00	0.5222	0.0231	0.4547
994.00	0.5222	0.0231	0.4547
995.00	0.5222	0.0231	0.4547
996.00	0.5222	0.0231	0.4548
997.00	0.5221	0.0230	0.4548
998.00	0.5221	0.0230	0.4548
999.00	0.5221	0.0230	0.4549
